"454208138,2024-12-13T08:34:31Z,1403/09/23 12:04,۳۱۳ایرانی,timaz8070,quote,دوست عزیز من یه بخشی از سهامم که خیلی رشد کرده بود رو سه شنبه تبدیل تضمین سرمایه مفید کردم تو اردیبهشت سال ۱۴۰۱ هم اینکارو کرده بودم ولی به نظرم زود بود شمام یه بررسی کن اخرای شاخص بعد سه میلیون اینکارو بکن من چون پول خودم نبود ریسک نکردم زودتر اینکارو کردم"
"65c4597e-1b80-449e-b2ac-7f2f1b7247ea,,,,,all,"
"454208135,2024-12-13T08:34:12Z,1403/09/23 12:04,کاوه صفرزاده,kaveh1355,quote,ابته۴۶ ساله از این ادعاها میکنه ولی هیچ غلطی تابحال نتوانسته بکنه !"
"454208121,2024-12-13T08:33:24Z,1403/09/23 12:03,Azadi,azadi.tb,twit,#شاخص_بورس امروز که تعطیله تنها کاری که میشه کرد پوشیدن لباس گرم و کم کردن دمای اتاق"
"454208117,2024-12-13T08:33:02Z,1403/09/23 12:03,مهدی خلوصی,mehdi7575,twit,#دی دوستان عزیز بنده \nاین سهم اینقدر شرایط بدی داره و هر روز زیان رو زیان میذاره که اصلا قابل مقایسه با سهم های خوب نیست\nتنها راه جبران دل خون خوردن سهامداران فقط انحلال هست و بس تا شاید این مدیران بی لیاقت محاکمه بشن"
"454208114,2024-12-13T08:32:59Z,1403/09/23 12:02,علي مهیاری,rahmani8711191,twit,#بجهرم دوسه ماه پیش که همه درگیر  اخبار جنگ و فروش درکف بودن بزرگان درحال خرید بودن... الان در موج دوم حقوقی ها که پول سنگین دارن در حال خریدن و در موج بعدی مردم تازه تشریف میارن... درموج اول اگر پیشنهاد خرید میدادی تکه بزرگت گوشت بود😁"
"454208110,2024-12-13T08:32:28Z,1403/09/23 12:02,کاوه صفرزاده,kaveh1355,twit,⬅️رسانه‌های عبر ی مکان‌های هسته‌ای ایران را بصورت گسترده منتشر می‌کنند!      \n\nℹ️رسانه‌های ر ژیم صهیو نیستی گویا چند ساعتی است که جنگ رسانه‌ای علیه ایران به راه انداخته‌اند.\n\nاسر ائیل در حال آماده شدن برای حمله به تاسیسات هسته ای ایران است؟\n💽هاآرتص به نقل از منابع ارتش اسر ائیل نوشت: انهدام سامانه های پدافند هوایی سور یه حمله آینده به تاسیسات هسته ای ایران را تسهیل می‌کند."
"454208104,2024-12-13T08:32:06Z,1403/09/23 12:02,۳۱۳ایرانی,timaz8070,quote,چقدر ما فراموش کاریم انگار دیروز بود نرخ نیمایی ۲۸ تومنی توسط دولت قبل برداشته یه صعود صد درصدی شاخص داشتیم و حالا دوباره ارز ۳۸ توننی شده ۶۳ و یه صعود صد درصدی هر دولتی بود امسال اینکارو میکرد ربطیم‌به ایشون نداره فقط مواضب باشین از این صعود صد در صدی فعلا ۲۵ درصدش رفته اصلا نمیشه دستشون رو خوند"
"454208095,2024-12-13T08:31:55Z,1403/09/23 12:01,یزدان ابراهیمی,yazdanebrahimi,twit,#اپرداز \n\n//"
"454208085,2024-12-13T08:31:05Z,1403/09/23 12:01,احمد ميهني,ahmadmhn999,quote,#شاخص_بورس بله حرفتون كاملا درسته. سهامدار بايد پيگير بازار باشه كه ديگه مثل 99 ركب نخوره و اگر ديد بازار دو سه روز شروع به ريزش كرد سريع خارج بشه. اصلا نبايد طمع كرد كه طمع كل سود آدم را به باد ميده"
"454208083,2024-12-13T08:30:59Z,1403/09/23 12:00,علی یاسری,sarmaddd,twit,کرازی فقط دراز مدت"
